role,champion,winrate,games
BOTTOM,Jhin,0.4789687924016282,2211
BOTTOM,MissFortune,0.47718631178707227,526
JUNGLE,Diana,0.5220588235294118,680
JUNGLE,Nidalee,0.5192107995846313,963
MIDDLE,Smolder,0.4473684210526316,152
MIDDLE,Zeri,0.5909090909090909,22
TOP,Gnar,0.492018779342723,1065
TOP,Rumble,0.515778019586507,919
UTILITY,Camille,0.43869209809264303,367
UTILITY,Leona,0.5,1252
BOTTOM,Kaisa,0.48095703125,2048
JUNGLE,LeeSin,0.5015447991761071,1942
JUNGLE,Ivern,0.49816176470588236,544
MIDDLE,Leblanc,0.5148936170212766,940
MIDDLE,Anivia,0.5360576923076923,832
TOP,Camille,0.5191424196018377,653
TOP,Zeri,0.5,34
UTILITY,Alistar,0.5147615442846328,1321
UTILITY,Rell,0.5129943502824859,1770
BOTTOM,Zeri,0.4884713919726729,1171
JUNGLE,Gragas,0.5,54
JUNGLE,RekSai,0.5337278106508876,845
MIDDLE,Zoe,0.48848684210526316,608
TOP,Smolder,0.4230769230769231,78
TOP,Yasuo,0.5230202578268877,543
UTILITY,Rakan,0.48400328137817883,1219
BOTTOM,Caitlyn,0.5150812064965197,2155
BOTTOM,Hwei,0.46474358974358976,312
JUNGLE,MasterYi,0.4829821717990275,617
JUNGLE,Talon,0.4969742813918306,1322
MIDDLE,TwistedFate,0.5443181818181818,880
MIDDLE,Corki,0.381294964028777,139
TOP,Garen,0.4884020618556701,776
TOP,Aatrox,0.49002493765586036,802
UTILITY,Pyke,0.5061068702290077,1310
UTILITY,Senna,0.5228840125391849,1595
BOTTOM,Tristana,0.501123595505618,890
BOTTOM,Ezreal,0.48599473306200625,4177
JUNGLE,Skarner,0.5351270553064275,669
JUNGLE,Ekko,0.5407608695652174,736
MIDDLE,Sylas,0.5033377837116155,1498
MIDDLE,Yasuo,0.5143338954468802,1186
TOP,Jax,0.5136663524976437,1061
TOP,Gragas,0.5045537340619308,549
UTILITY,Lulu,0.503683241252302,2172
BOTTOM,Sivir,0.4752475247524752,808
BOTTOM,Samira,0.46794871794871795,624
JUNGLE,Graves,0.493891797556719,2292
MIDDLE,Ahri,0.5375744047619048,2688
TOP,Urgot,0.4713375796178344,314
TOP,Renekton,0.5040071237756011,1123
UTILITY,Nautilus,0.4922035892909679,3399
BOTTOM,Corki,0.4945155393053016,1094
JUNGLE,Kindred,0.5049115913555993,509
JUNGLE,Nunu,0.5422535211267606,710
MIDDLE,Katarina,0.5097847358121331,1022
MIDDLE,Lissandra,0.5056179775280899,534
TOP,Ambessa,0.4702702702702703,1110
TOP,Yone,0.5033112582781457,755
UTILITY,Pantheon,0.5207612456747405,578
BOTTOM,Velkoz,0.5173210161662818,433
JUNGLE,Khazix,0.46318289786223277,1263
JUNGLE,Shyvana,0.4423076923076923,468
MIDDLE,Briar,0.3333333333333333,6
TOP,Quinn,0.585,200
BOTTOM,Swain,0.5335195530726257,358
JUNGLE,JarvanIV,0.4843674843674844,2079
MIDDLE,Orianna,0.49508196721311476,1220
JUNGLE,Ambessa,0.46138002059732236,971
MIDDLE,Galio,0.5049019607843137,816
TOP,Fiora,0.5375375375375375,666
UTILITY,Renata,0.4738675958188153,287
UTILITY,Poppy,0.5735607675906184,469
BOTTOM,Varus,0.4529236868186323,1009
JUNGLE,Morgana,0.573170731707317,82
MIDDLE,Aurora,0.4922322158626329,1223
MIDDLE,Yone,0.492831541218638,1116
TOP,Sion,0.47464622641509435,1696
TOP,Trundle,0.5219512195121951,205
UTILITY,Janna,0.5129124820659972,1394
UTILITY,Elise,0.4756335282651072,513
JUNGLE,MonkeyKing,0.5251989389920424,754
MIDDLE,Akshan,0.5018450184501845,813
TOP,Malzahar,0.37735849056603776,53
TOP,Heimerdinger,0.46551724137931033,116
UTILITY,Seraphine,0.513493800145879,1371
BOTTOM,Ashe,0.5245321193727871,1977
JUNGLE,Sylas,0.48788927335640137,1156
JUNGLE,Vi,0.5384615384615384,936
TOP,Vladimir,0.49760765550239233,418
MIDDLE,Tryndamere,0.6009852216748769,203
MIDDLE,Gragas,0.43137254901960786,102
TOP,Yorick,0.4753694581280788,406
TOP,Irelia,0.5113924050632911,790
UTILITY,Nami,0.49915325994919557,2362
JUNGLE,FiddleSticks,0.49224806201550386,258
MIDDLE,Annie,0.5422705314009661,828
TOP,Akali,0.4746317512274959,611
UTILITY,Maokai,0.5245901639344263,183
BOTTOM,KogMaw,0.5020408163265306,490
MIDDLE,Velkoz,0.5879120879120879,182
TOP,Cassiopeia,0.546191247974068,617
BOTTOM,Kalista,0.5454545454545454,1287
BOTTOM,Draven,0.506350550381033,1181
JUNGLE,Kayn,0.4846938775510204,588
MIDDLE,Azir,0.4233576642335766,411
TOP,Tristana,0.5384615384615384,52
TOP,Malphite,0.5013723696248856,1093
UTILITY,Zilean,0.5029469548133595,509
BOTTOM,Gragas,0.0,2
JUNGLE,Udyr,0.4801864801864802,429
JUNGLE,Lillia,0.4951267056530214,513
MIDDLE,Ambessa,0.5,148
MIDDLE,Swain,0.46616541353383456,133
TOP,Kled,0.5276595744680851,235
BOTTOM,Karthus,0.5579598145285936,647
JUNGLE,Volibear,0.4406779661016949,118
UTILITY,Thresh,0.5209471766848816,1647
UTILITY,Soraka,0.492379835873388,853
BOTTOM,Ziggs,0.5092165898617511,434
JUNGLE,Warwick,0.46511627906976744,129
MIDDLE,Hwei,0.5007215007215007,693
UTILITY,Skarner,0.39655172413793105,58
UTILITY,TahmKench,0.5269461077844312,167
BOTTOM,Jinx,0.49754098360655735,1220
BOTTOM,Xayah,0.4978813559322034,472
MIDDLE,Zac,0.2857142857142857,42
TOP,Shen,0.4817880794701987,604
JUNGLE,Nocturne,0.5026833631484794,1118
MIDDLE,Akali,0.4804804804804805,1332
TOP,Aurora,0.5087956698240866,739
TOP,Gangplank,0.5203915171288744,613
TOP,Warwick,0.5128205128205128,195
UTILITY,FiddleSticks,0.6129032258064516,93
BOTTOM,Yasuo,0.5152173913043478,460
JUNGLE,XinZhao,0.5025125628140703,1194
TOP,Poppy,0.48854961832061067,131
BOTTOM,Lucian,0.525974025974026,1078
MIDDLE,Vex,0.5,250
TOP,Maokai,0.5689655172413793,58
JUNGLE,Karthus,0.48366013071895425,459
TOP,Bard,1.0,1
UTILITY,Vex,0.47058823529411764,17
MIDDLE,Qiyana,0.5142503097893433,807
UTILITY,Milio,0.46412213740458014,655
UTILITY,Swain,0.42857142857142855,84
JUNGLE,Zac,0.47577092511013214,227
MIDDLE,Kassadin,0.4635514018691589,535
UTILITY,Zoe,0.4555984555984556,259
JUNGLE,Viego,0.4899845916795069,1298
TOP,KSante,0.48299319727891155,1176
TOP,Gwen,0.4797979797979798,396
BOTTOM,Seraphine,0.555045871559633,436
TOP,Lucian,0.36363636363636365,22
UTILITY,Zac,0.425,40
JUNGLE,Taliyah,0.5386178861788617,492
BOTTOM,Aphelios,0.49170616113744076,844
MIDDLE,Veigar,0.47520661157024796,242
MIDDLE,Lux,0.4827586206896552,290
UTILITY,Bard,0.5184534270650264,2845
JUNGLE,Elise,0.49295774647887325,568
MIDDLE,Darius,0.5,32
TOP,Leblanc,0.5,68
UTILITY,Blitzcrank,0.4954367666232073,767
TOP,Nidalee,0.2826086956521739,46
TOP,Swain,0.44329896907216493,97
UTILITY,Teemo,0.47058823529411764,17
BOTTOM,Veigar,0.5038759689922481,129
BOTTOM,Smolder,0.4799465240641711,1496
TOP,Tryndamere,0.5447368421052632,380
JUNGLE,Amumu,0.3333333333333333,51
MIDDLE,Fizz,0.474025974025974,462
TOP,Ornn,0.5070955534531694,1057
JUNGLE,Belveth,0.5152941176470588,425
TOP,Anivia,0.5143884892086331,556
TOP,Sylas,0.5406162464985994,357
TOP,Jayce,0.4864864864864865,1665
UTILITY,Braum,0.49727767695099817,1102
MIDDLE,Taliyah,0.5474794841735052,853
JUNGLE,Rengar,0.5037037037037037,810
MIDDLE,Sion,0.4618181818181818,275
UTILITY,Lux,0.4947589098532495,477
TOP,Teemo,0.5,376
TOP,Nasus,0.47783251231527096,203
MIDDLE,Syndra,0.524567474048443,1445
TOP,Varus,0.49700598802395207,1002
TOP,Zac,0.5636363636363636,55
JUNGLE,Hecarim,0.5138516532618409,1119
TOP,Darius,0.5085638998682477,759
TOP,Singed,0.5292987512007685,1041
UTILITY,Taric,0.5147679324894515,474
MIDDLE,Xerath,0.4921875,384
JUNGLE,Poppy,0.5483870967741935,124
TOP,Pantheon,0.5102040816326531,441
TOP,Mordekaiser,0.44155844155844154,231
JUNGLE,Neeko,0.6046511627906976,43
TOP,Talon,0.5,24
JUNGLE,Qiyana,0.497134670487106,698
UTILITY,Karma,0.48908620051794305,2703
JUNGLE,Zyra,0.49214659685863876,382
TOP,Riven,0.529639175257732,776
MIDDLE,Seraphine,0.4805194805194805,77
UTILITY,Neeko,0.49635036496350365,822
JUNGLE,Evelynn,0.509493670886076,316
MIDDLE,Talon,0.4589041095890411,146
MIDDLE,Brand,0.5316901408450704,284
MIDDLE,Naafiri,0.46153846153846156,273
TOP,MasterYi,0.3968253968253968,63
UTILITY,Sylas,0.4883720930232558,215
JUNGLE,Darius,0.47586206896551725,145
UTILITY,Heimerdinger,0.47058823529411764,17
JUNGLE,Maokai,0.5625,32
MIDDLE,Jayce,0.5139186295503212,467
TOP,Olaf,0.4797891036906854,569
