role,champion_1,champion_2,duel_winrate,duel_games
BOTTOM,Jhin,MissFortune,0.5277777777777778,36
BOTTOM,MissFortune,Jhin,0.4722222222222222,36
JUNGLE,Diana,Nidalee,0.4166666666666667,24
JUNGLE,Nidalee,Diana,0.5833333333333334,24
MIDDLE,Smolder,Zeri,0.0,1
MIDDLE,Zeri,Smolder,1.0,1
TOP,Gnar,Rumble,0.5384615384615384,13
TOP,Rumble,Gnar,0.46153846153846156,13
UTILITY,Camille,Leona,0.4444444444444444,9
UTILITY,Leona,Camille,0.5555555555555556,9
BOTTOM,Jhin,Kaisa,0.4878048780487805,123
BOTTOM,Kaisa,Jhin,0.5121951219512195,123
JUNGLE,LeeSin,Ivern,0.68,25
JUNGLE,Ivern,LeeSin,0.32,25
MIDDLE,Leblanc,Anivia,0.29411764705882354,17
MIDDLE,Anivia,Leblanc,0.7058823529411765,17
TOP,Camille,Zeri,1.0,2
TOP,Zeri,Camille,0.0,2
UTILITY,Alistar,Rell,0.5055555555555555,180
UTILITY,Rell,Alistar,0.49444444444444446,180
BOTTOM,Zeri,MissFortune,0.5,14
BOTTOM,MissFortune,Zeri,0.5,14
JUNGLE,Gragas,RekSai,0.5,2
JUNGLE,RekSai,Gragas,0.5,2
MIDDLE,Zoe,Anivia,0.2727272727272727,11
MIDDLE,Anivia,Zoe,0.7272727272727273,11
TOP,Smolder,Yasuo,0.3333333333333333,3
TOP,Yasuo,Smolder,0.6666666666666666,3
UTILITY,Rell,Rakan,0.5818181818181818,55
UTILITY,Rakan,Rell,0.41818181818181815,55
BOTTOM,Caitlyn,Hwei,0.3333333333333333,21
BOTTOM,Hwei,Caitlyn,0.6666666666666666,21
JUNGLE,MasterYi,Talon,0.45454545454545453,22
JUNGLE,Talon,MasterYi,0.5454545454545454,22
MIDDLE,TwistedFate,Corki,0.0,1
MIDDLE,Corki,TwistedFate,1.0,1
TOP,Garen,Aatrox,0.4090909090909091,22
TOP,Aatrox,Garen,0.5909090909090909,22
UTILITY,Pyke,Senna,0.5384615384615384,52
UTILITY,Senna,Pyke,0.46153846153846156,52
BOTTOM,Tristana,Ezreal,0.6268656716417911,67
BOTTOM,Ezreal,Tristana,0.373134328358209,67
JUNGLE,Skarner,Ekko,0.5454545454545454,11
JUNGLE,Ekko,Skarner,0.45454545454545453,11
MIDDLE,Sylas,Yasuo,0.40476190476190477,42
MIDDLE,Yasuo,Sylas,0.5952380952380952,42
TOP,Jax,Gragas,0.38095238095238093,21
TOP,Gragas,Jax,0.6190476190476191,21
UTILITY,Lulu,Senna,0.5321100917431193,109
UTILITY,Senna,Lulu,0.46788990825688076,109
BOTTOM,Sivir,Samira,0.25,8
BOTTOM,Samira,Sivir,0.75,8
JUNGLE,Talon,Graves,0.5543478260869565,92
JUNGLE,Graves,Talon,0.44565217391304346,92
MIDDLE,Ahri,Sylas,0.5424528301886793,212
MIDDLE,Sylas,Ahri,0.45754716981132076,212
TOP,Urgot,Renekton,0.2857142857142857,7
TOP,Renekton,Urgot,0.7142857142857143,7
UTILITY,Senna,Nautilus,0.5060240963855421,166
UTILITY,Nautilus,Senna,0.4939759036144578,166
BOTTOM,Samira,Corki,0.4074074074074074,27
BOTTOM,Corki,Samira,0.5925925925925926,27
JUNGLE,Kindred,Nunu,0.2727272727272727,11
JUNGLE,Nunu,Kindred,0.7272727272727273,11
MIDDLE,Katarina,Lissandra,0.4782608695652174,23
MIDDLE,Lissandra,Katarina,0.5217391304347826,23
TOP,Ambessa,Yone,0.3333333333333333,15
TOP,Yone,Ambessa,0.6666666666666666,15
UTILITY,Pantheon,Lulu,0.5,28
UTILITY,Lulu,Pantheon,0.5,28
BOTTOM,Velkoz,Caitlyn,0.4583333333333333,24
BOTTOM,Caitlyn,Velkoz,0.5416666666666666,24
JUNGLE,Khazix,Shyvana,0.38461538461538464,13
JUNGLE,Shyvana,Khazix,0.6153846153846154,13
MIDDLE,Ahri,Briar,0.0,1
MIDDLE,Briar,Ahri,1.0,1
TOP,Ambessa,Quinn,0.0,6
TOP,Quinn,Ambessa,1.0,6
UTILITY,Leona,Lulu,0.46153846153846156,52
UTILITY,Lulu,Leona,0.5384615384615384,52
BOTTOM,Corki,Swain,0.2,5
BOTTOM,Swain,Corki,0.8,5
JUNGLE,Skarner,JarvanIV,0.5428571428571428,35
JUNGLE,JarvanIV,Skarner,0.45714285714285713,35
MIDDLE,Sylas,Orianna,0.6,50
MIDDLE,Orianna,Sylas,0.4,50
TOP,Aatrox,Camille,0.5,20
TOP,Camille,Aatrox,0.5,20
BOTTOM,Jhin,Corki,0.5185185185185185,54
BOTTOM,Corki,Jhin,0.48148148148148145,54
JUNGLE,Ambessa,JarvanIV,0.6065573770491803,61
JUNGLE,JarvanIV,Ambessa,0.39344262295081966,61
MIDDLE,Sylas,Galio,0.5526315789473685,38
MIDDLE,Galio,Sylas,0.4473684210526316,38
TOP,Fiora,Rumble,0.5,16
TOP,Rumble,Fiora,0.5,16
UTILITY,Renata,Poppy,0.4117647058823529,17
UTILITY,Poppy,Renata,0.5882352941176471,17
BOTTOM,Varus,Jhin,0.45454545454545453,88
